Scaling factor	2.6659506944613276
Got My Own Bag of Tricks	0.36351901622356175 0.2610367603310999 0.20414187127781244 0.672363437186713 0.25896196426539936 0.16508536016071224 0.12180944269624444 0.09670630796563748 0.08026399358888262 0.42546539841854875
The Sound of the City: Chicago	0.3635190162235834 0.2610367603312639 0.20414187127793681 0.6723634371843259 0.25896196426982115 0.1650853601619037 0.1218094426970389 0.09670630796624263 0.08026399358535453 0.4254653984191902
Talent Blues Condensed	0.36351901622210436 0.26103676033129647 0.20414187127800287 0.6723634371835145 0.2589619642673399 0.16508536016094 0.12180944269957569 0.09670630796372802 0.08026399358698408 0.42546539842265774
I’m a Man	0.3635190162225755 0.2610367603313931 0.2041418712780634 0.6723634371838005 0.2589619642674257 0.16508536016099887 0.12180944269339468 0.09670630796430406 0.08026399358798389 0.42546539842316405
Blues From the Checker Vaults	0.3635190162233284 0.2610367603315056 0.2041418712781282 0.672363437184247 0.25896196426465906 0.16508536016260295 0.12180944269447735 0.0967063079655351 0.0802639935863602 0.42546539842263886
Hey! Bo Diddley	0.36351901622031424 0.2610367603304363 0.20414187127402086 0.6723634371882735 0.2589619642646904 0.16508536016091907 0.12180944269642806 0.09670630796580168 0.08026399358663437 0.425465398421256
Bo Diddley	0.36351901622309346 0.2610367603309785 0.20414187127517222 0.6723634371862833 0.2589619642675715 0.1650853601634011 0.12180944269485437 0.09670630796608932 0.08026399358783133 0.4254653984190398
Who Do You Love	0.36351901622373783 0.26103676033110756 0.20414187127543787 0.6723634371865073 0.2589619642676653 0.1650853601612059 0.12180944269669226 0.09670630796375915 0.0802639935841577 0.4254653984195233
The Story of the Blues: 125 Blues Classics	0.3635190162221095 0.26103676033097745 0.2041418712746908 0.6723634371861946 0.2589619642675499 0.16508536015816067 0.12180944269554528 0.09670630796781823 0.08026399358463598 0.42546539842202696
The Story of Bo Diddley	0.36351901622256927 0.26103676033106793 0.20414187127488093 0.6723634371863523 0.25896196426475304 0.1650853601602067 0.12180944269849799 0.09670630796673023 0.08026399358454935 0.4254653984216398
Télérama: 60 ans de musiques	0.3635190162244438 0.26103676033128514 0.20414187127571493 0.6723634371867994 0.25896196426563073 0.16508536015868627 0.12180944269647805 0.09670630796585075 0.0802639935863801 0.42546539841968956
Cops and Robbers / Down Home Special	0.36351901622356403 0.26103676033145523 0.2041418712752183 0.6723634371841313 0.2589619642670251 0.16508536016055841 0.1218094426987375 0.09670630796685677 0.08026399358470625 0.42546539842229303
Mojo Presents: Good Times, Bad Times	0.3635190162248204 0.2610367603315787 0.20414187127578584 0.6723634371849009 0.25896196426727974 0.165085360160762 0.12180944269417872 0.09670630796422638 0.08026399358594971 0.4254653984213739
Les Plus Grands Artistes de Blues	0.3635190162194679 0.2610367603266581 0.2041418712773511 0.6723634371881901 0.25896196426780344 0.1650853601610974 0.12180944269650582 0.09670630796583482 0.08026399358664481 0.4254653984207941
Uncut - This is Radio Strummer	0.363519016220498 0.26103676032712614 0.204141871277654 0.6723634371859337 0.25896196426755796 0.16508536016413497 0.12180944269744065 0.09670630796635202 0.08026399358699053 0.425465398421585
Who Do You Love? / I'm Bad	0.3635190162195961 0.26103676032666334 0.204141871277673 0.6723634371858603 0.2589619642675543 0.16508536016117983 0.12180944269669201 0.09670630796605731 0.08026399358687784 0.4254653984239601
A Complete Introduction to Chess	0.3635190162221481 0.2610367603279344 0.20414187127782626 0.6723634371864304 0.25896196426774715 0.16508536016128936 0.12180944269390016 0.09670630796266605 0.0802639935867063 0.4254653984219787
Best of Blues	0.3635190162239933 0.2610367603288574 0.2041418712779152 0.6723634371868042 0.25896196426786733 0.16508536015915337 0.12180944269618033 0.09670630796357281 0.08026399358508113 0.42546539841979214
Blues Power	0.3635190162221416 0.2610367603279231 0.20414187127786873 0.6723634371865039 0.2589619642648233 0.16508536016063874 0.12180944269894232 0.09670630796390434 0.08026399358682648 0.42546539842210396
Bluesfest 2005	0.36351901622338384 0.2610367603285388 0.2041418712779596 0.6723634371868099 0.2589619642653492 0.16508536016079817 0.12180944269395182 0.09670630796433961 0.08026399358480843 0.4254653984217023
All Time Blues Favourites	0.3635190162237171 0.26103676032868334 0.20414187127809416 0.6723634371844827 0.2589619642699452 0.16508536015940833 0.12180944269677661 0.09670630796608541 0.08026399358477329 0.4254653984214621
The Best Blues, Volume 2	0.3635190162247984 0.2610367603292304 0.20414187127811362 0.672363437185094 0.25896196426773155 0.1650853601612297 0.12180944269670152 0.09670630796798751 0.0802639935860166 0.42546539841947456
New York Collection, 1962	0.3635190162245372 0.2610367603290853 0.20414187127817843 0.6723634371849708 0.2589619642677513 0.1650853601612459 0.1218094426944513 0.09670630796336514 0.0802639935858222 0.42546539842154807
Blues Giants	0.36351901622391863 0.26103676032876205 0.20414187127822256 0.6723634371846408 0.25896196426512547 0.16508536016273287 0.12180944269478174 0.0967063079657868 0.08026399358662265 0.4254653984228131
Blues Brothers & Soul Sisters	0.3635190162229115 0.26103676032836143 0.20414187127531086 0.6723634371880289 0.2589619642679327 0.16508536016124076 0.12180944269664153 0.09670630796595973 0.08026399358554134 0.4254653984186869
Hit’Z’Road	0.36351901622359994 0.261036760328673 0.20414187127553138 0.6723634371865127 0.25896196426771806 0.16508536016324882 0.12180944269726865 0.09670630796630827 0.08026399358523413 0.42546539841935505
Birth of the Blues	0.36351901622315974 0.26103676032844275 0.20414187127532302 0.6723634371865076 0.25896196426773 0.16508536016126474 0.1218094426967414 0.09670630796608906 0.08026399358303891 0.42546539842122355
Beat Generation - L'Anthologie Musicale	0.36351901622441624 0.2610367603290707 0.20414187127585404 0.672363437186788 0.25896196426782825 0.16508536016132103 0.12180944269476306 0.09670630796368507 0.08026399358650442 0.42546539841970443
The Many Faces of Eric Clapton	0.36351901622307314 0.2610367603283894 0.20414187127526462 0.6723634371865793 0.25896196426776846 0.16508536015870606 0.12180944269366456 0.09670630796606275 0.08026399358684726 0.42546539842232256
Gold: Volume 1, Number 8	0.3635190162241355 0.2610367603289213 0.20414187127571568 0.6723634371868077 0.2589619642656392 0.16508536016075565 0.12180944269627252 0.09670630796772758 0.08026399358456825 0.42546539842054093
Feelin' the Blues Diggin' the Rhythm 4	0.3635190162238213 0.26103676032875195 0.2041418712755562 0.6723634371868492 0.2589619642654642 0.16508536015851258 0.12180944269483429 0.09670630796558405 0.08026399358641817 0.42546539842233433
Cruisin’ 1955	0.36351901622482063 0.2610367603292342 0.20414187127594122 0.6723634371850373 0.258961964267593 0.16508536016310213 0.12180944269524137 0.09670630796430695 0.08026399358607421 0.42546539842116016
Chuck & Bo, Vol. 3	0.36351901622485183 0.2610367603292484 0.2041418712759514 0.672363437185058 0.2589619642676019 0.16508536016110786 0.12180944269659004 0.09670630796387925 0.08026399358882978 0.4254653984210476
The 20th Anniversary of Rock'N'Roll	0.36351901622468497 0.2610367603291527 0.20414187127585418 0.6723634371849793 0.2589619642653924 0.16508536016224618 0.12180944269720449 0.09670630796635453 0.08026399358504153 0.42546539842221304
Legends of the Blues	0.36351901622440885 0.2610367603290221 0.20414187127385588 0.6723634371849968 0.2589619642673892 0.16508536016091677 0.12180944269641295 0.09670630796578392 0.08026399358661669 0.4254653984227936
Blue Suede Shoes	0.36351901622301697 0.26103676032964324 0.20414187127652134 0.6723634371856043 0.2589619642665961 0.16508536016185307 0.12180944269517592 0.09670630796552371 0.08026399358631851 0.42546539842221737
The Doors	0.3635190162183755 0.26103676032865897 0.2041418712764147 0.6723634371891998 0.2589619642678972 0.16508536015497333 0.12180944269381876 0.09670630796310455 -0.22975865456306718 -0.3669796650683233
Strange Days	0.3635190162208154 0.2610367603296502 0.20414187127708555 0.6723634371850212 0.2589619642672334 0.1650853601610061 0.12180944270206344 0.09670630796763553 -0.22975865455627653 -0.3669796650707847
Waiting for the Sun	0.3635190162233179 0.2610367603304419 0.2041418712775669 0.6723634371861519 0.25896196426768486 0.165085360161292 0.1218094426918036 0.09670630796434772 -0.22975865455566252 -0.3669796650703143
The Soft Parade	0.3635190162223788 0.2610367603298052 0.20414187127707417 0.6723634371851734 0.25896196426284207 0.16508536016382708 0.12180944269745683 0.09670630796228712 -0.22975865456260067 -0.366979665070811
Morrison Hotel	0.363519016224594 0.2610367603314584 0.2041418712783756 0.6723634371877284 0.25896196426201723 0.16508536015417916 0.12180944269759604 0.09670630796665491 -0.22975865456102762 -0.3669796650653739
L.A. Woman	0.36351901622622274 0.26103676033226425 0.20414187127895597 0.6723634371822188 0.2589619642674298 0.16508536016087663 0.12180944270258512 0.09670630796189347 -0.2297586545614031 -0.366979665065339
A Collection	0.36351901622761884 0.2610367603325898 0.20414187127911776 0.6723634371836281 0.2589619642678065 0.16508536015579223 0.12180944269338065 0.09670630796684598 -0.2297586545615138 -0.3669796650653891
Summer '96	0.3635190162223133 0.26103676033002976 0.2041418712720439 0.6723634371846864 0.258961964271457 0.1650853601622254 0.12180944269711796 0.09670630796161352 -0.22975865456321845 -0.3669796650684196
Clarity	0.3635190162228255 0.26103676033005563 0.2041418712726757 0.6723634371848033 0.25896196426679746 0.1650853601605953 0.12180944269622448 0.09670630796567413 -0.2297586545676013 -0.3669796650682607
Last Exit to L'America	0.36351901622430777 0.2610367603304575 0.2041418712737534 0.6723634371855032 0.2589619642671149 0.16508536015723474 0.1218094426947012 0.09670630796382547 -0.22975865456486394 -0.366979665069175
Special Collection	0.3635190162257724 0.26103676033101275 0.20414187127445516 0.672363437183104 0.2589619642693429 0.16508536015866584 0.12180944269620798 0.0967063079656044 -0.22975865456153352 -0.3669796650704533
Singles Box: Japan Edition	0.3635190162251409 0.2610367603269097 0.20414187128100839 0.6723634371835467 0.25896196426775214 0.16508536016122485 0.12180944269667542 0.0967063079628128 -0.22975865456185277 -0.36697966506951607
TV Bleeding	0.3635190162236377 0.26103676032636297 0.20414187127706737 0.6723634371855393 0.2589619642672976 0.16508536016433004 0.12180944269385577 0.0967063079660369 -0.22975865455941508 -0.3669796650705939
Something Else	0.36351901622514593 0.2610367603254741 0.2041418712780565 0.6723634371876043 0.2589619642683141 0.1650853601617342 0.12180944269127333 0.09670630796418656 -0.22975865456354846 -0.3669796650631378
Dark Side of the Radio: The Complete Radio Shows, Volume 8: 1993 Westwood One - Superstar Concert Series: Rock 'n' Roll Hall Of Fame 1993	0.3635190162241673 0.2610367603267913 0.20414187127717237 0.672363437185767 0.25896196426393925 0.1650853601632373 0.12180944269735258 0.09670630796634133 -0.22975865455999375 -0.366979665070725
Stormy Dance (remix)	0.3635190162252805 0.2610367603271259 0.20414187127757819 0.6723634371866253 0.25896196426409845 0.16508536015688768 0.12180944269650239 0.09670630796587809 -0.22975865456420097 -0.366979665067944
Curated by Record Store Day	0.363519016226996 0.26103676032719986 0.20414187127834812 0.6723634371835472 0.25896196426720314 0.16508536016062658 0.12180944269607477 0.09670630796987478 -0.2297586545647616 -0.3669796650656142
Community Service II	0.36351901622299676 0.26103676032618617 0.2041418712732262 0.6723634371875312 0.2589619642677819 0.1650853601611129 0.12180944269652665 0.09670630796585553 -0.22975865455928338 -0.3669796650702957
40 ans, les nocturnes Georges Lang	0.3635190162247585 0.2610367603273552 0.2041418712741959 0.6723634371852517 0.2589619642668478 0.1650853601605459 0.12180944269896712 0.09670630796678059 -0.229758654560831 -0.3669796650705991
Perception	0.3635190162256851 0.2610367603277961 0.20414187127451425 0.6723634371858649 0.2589619642671247 0.1650853601579049 0.12180944269758358 0.0967063079636657 -0.22975865456279876 -0.3669796650691298
Live in Boston 1970	0.3635190162256027 0.2610367603231468 0.20414187127796776 0.6723634371871177 0.25896196426790535 0.16508536016133638 0.12180944269676772 0.09670630796609177 -0.22975865456139036 -0.3669796650657407
TopDisq	0.36351901621990657 0.2610367603306484 0.20414187127756994 0.6723634371891891 0.25896196426450857 0.16508536016109326 0.12180944269655117 0.09670630796589556 -0.22975865456096775 -0.36697966506585206
Turn Out the Lights	0.3635190162209788 0.26103676033116263 0.20414187127793212 0.672363437186697 0.2589619642679042 0.16508536016141917 0.1218094427002674 0.09670630796344384 -0.2297586545608809 -0.3669796650656896
20 United Stars of America	0.36351901622230504 0.2610367603313405 0.20414187127803082 0.6723634371869992 0.25896196426800994 0.16508536016148007 0.12180944269361818 0.09670630796226387 -0.22975865456150418 -0.3669796650659788
In Concert	0.36351901622162225 0.26103676033040724 0.20414187127733832 0.6723634371856656 0.2589619642647374 0.1650853601628074 0.1218094426970907 0.09670630796616332 -0.22975865456275632 -0.3669796650693615
Star-Collection The Doors Volume 2	0.3635190162226121 0.26103676033070294 0.20414187127753622 0.6723634371861192 0.2589619642651004 0.16508536016052208 0.12180944269382613 0.09670630796647567 -0.22975865456302313 -0.36697966506894736
Classics 2001	0.36351901622368543 0.2610367603320166 0.20414187127850789 0.6723634371845767 0.25896196426781937 0.1650853601643803 0.12180944269457708 0.09670630796634355 -0.22975865456141606 -0.3669796650657546
Live USA	0.36351901622482735 0.2610367603324073 0.20414187127877392 0.6723634371853104 0.2589619642681029 0.16508536016146602 0.12180944269375718 0.09670630796460218 -0.22975865456050232 -0.3669796650653593
All the Best Of, Volume 2	0.36351901622528776 0.26103676033242695 0.20414187127877606 0.6723634371855707 0.25896196426522483 0.16508536016003414 0.1218094426951238 0.09670630796682671 -0.22975865456135522 -0.3669796650656522
The Doors Anthology	0.36351901622180466 0.2610367603304054 0.20414187127476274 0.6723634371854287 0.2589619642671885 0.16508536016314448 0.12180944269712977 0.09670630796617617 -0.2297586545627329 -0.3669796650692285
The DVD-Audio Experience	0.36351901622320487 0.2610367603308244 0.20414187127528638 0.6723634371860943 0.2589619642674783 0.16508536016107586 0.12180944269659072 0.09670630796372294 -0.22975865455971797 -0.36697966506962926
Weird Scenes Inside the Gold Mine	0.3635190162237847 0.2610367603311559 0.20414187127544212 0.6723634371865739 0.25896196426769635 0.16508536015889091 0.12180944269584294 0.09670630796325856 -0.2297586545605234 -0.3669796650684967
Missing Links	0.36351901622396376 0.26103676033109663 0.20414187127555275 0.6723634371865133 0.25896196426547247 0.16508536016045464 0.12180944269594689 0.09670630796345035 -0.22975865456115738 -0.3669796650688991
Toronto Rock & Roll Revival 1969	0.36351901622504895 0.2610367603322178 0.20414187127565056 0.6723634371851424 0.25896196426749785 0.16508536016087857 0.12180944269908289 0.09670630796425345 -0.22975865456163935 -0.366979665065839
The Isle of Wight Festival 1970	0.36351901622354166 0.2610367603310845 0.20414187127349445 0.6723634371864307 0.258961964267572 0.16508536016110037 0.12180944269658234 0.09670630796593829 -0.229758654560016 -0.3669796650685657
Rock Is Dead Sessions	0.3635190162222275 0.26103676032804335 0.20414187127745886 0.6723634371857967 0.25896196426946544 0.16508536015920788 0.12180944269654576 0.09670630796588266 -0.22975865456221814 -0.36697966506919566
Live in Konserthuest Stockholm 1968 (Early Show)	0.36351901622306476 0.26103676032841194 0.2041418712777684 0.6723634371864375 0.25896196426771695 0.165085360161256 0.12180944269673254 0.09670630796607958 -0.22975865455840058 -0.3669796650693053
Live in Konserthuset Stockholm (Late Show)	0.36351901622263316 0.26103676032821527 0.20414187127764466 0.67236343718617 0.2589619642675981 0.16508536015875477 0.12180944269598144 0.09670630796768685 -0.22975865456357758 -0.3669796650682141
American Pop : Music From the Original Motion Picture Soundtrack	0.36351901622311433 0.2610367603284579 0.20414187127765748 0.6723634371862492 0.2589619642653779 0.16508536016067138 0.12180944269830717 0.0967063079665321 -0.22975865456094965 -0.3669796650694208
You Make Me Real	0.36351901622380023 0.26103676032876844 0.2041418712778652 0.672363437186694 0.25896196426558854 0.16508536015872344 0.12180944269731614 0.09670630796424919 -0.22975865456244615 -0.3669796650683193
Unknown Soldier	0.3635190162237039 0.26103676032871354 0.20414187127789643 0.6723634371844054 0.25896196426748797 0.1650853601610639 0.1218094426986672 0.09670630796667892 -0.22975865456314828 -0.3669796650686521
Light My Fire	0.36351901622498894 0.2610367603292888 0.20414187127832098 0.6723634371852737 0.2589619642678872 0.1650853601613396 0.12180944269452404 0.09670630796342496 -0.2297586545625166 -0.3669796650673479
...Next Stop Is Vietnam: The War on Record: 1961-2008	0.36351901622503696 0.2610367603293456 0.20414187127814742 0.6723634371852392 0.258961964265753 0.16508536016039826 0.12180944269781029 0.096706307964569 -0.22975865456148706 -0.36697966506877294
Live in New York	0.3635190162233702 0.2610367603284875 0.20414187127528077 0.6723634371871026 0.2589619642705313 0.16508536015927072 0.12180944269690173 0.09670630796617333 -0.22975865456125433 -0.36697966506585195
The Complete Stockholm ’68 Tapes	0.3635190162231456 0.2610367603285143 0.20414187127548772 0.6723634371857916 0.2589619642673742 0.1650853601610049 0.12180944269653178 0.09670630796591172 -0.22975865456221636 -0.3669796650700024
The Best of The Doors	0.36351901622423166 0.2610367603288818 0.20414187127556632 0.6723634371876227 0.2589619642682495 0.16508536015882688 0.121809442696159 0.09670630796818858 -0.2297586545606321 -0.36697966506555196
1968-04-19: Westbury Music Fair, New York, NY, USA	0.3635190162244835 0.26103676032901685 0.2041418712756927 0.6723634371875956 0.2589619642655668 0.16508536016090997 0.12180944269888137 0.09670630796432393 -0.22975865456142328 -0.3669796650658665
Elektra	0.3635190162247985 0.2610367603291406 0.20414187127575276 0.6723634371851572 0.258961964270406 0.1650853601622754 0.12180944269731751 0.09670630796646729 -0.22975865456136857 -0.36697966506577173
Born to Be Wild	0.36351901622501864 0.26103676032933465 0.20414187127602818 0.672363437185152 0.2589619642676186 0.16508536016111963 0.12180944269659898 0.09670630796788289 -0.22975865456021277 -0.36697966506881
Superpapa	0.36351901622563987 0.26103676032960743 0.20414187127620897 0.6723634371855798 0.25896196426782647 0.16508536015921776 0.12180944269562403 0.09670630796468833 -0.22975865456322894 -0.36697966506706814
Los Grandes Del Rock 3: No Limits (Doors)	0.36351901622370103 0.2610367603268187 0.20414187127812522 0.6723634371865868 0.2589619642676642 0.16508536016115563 0.12180944269661768 0.09670630796596194 -0.22975865456014052 -0.3669796650685114
Live in Vancouver 1970	0.36351901622419985 0.261036760330176 0.20414187127689457 0.6723634371863975 0.2589619642669519 0.1650853601620985 0.12180944269536634 0.0967063079656803 -0.2297586545619876 -0.3669796650662907
Acoustic Songbook	0.3635190162201982 0.26103676033081386 0.20414187127821593 0.6723634371869601 0.25896196426834234 0.16508536016188072 0.12180944269733333 -0.40147768126595557 -0.18865416724728035 -0.006364003464899356
The Best of the Original Mono Recordings	0.3635190162257365 0.26103676033128115 0.2041418712781002 0.6723634371873655 0.25896196426393453 0.16508536016038594 0.12180944269589787 -0.4014776812639518 -0.1886541672551716 -0.006364003472964415
Bob Dylan	0.3635190162256918 0.26103676033106615 0.204141871277907 0.6723634371833597 0.25896196426713364 0.1650853601607263 0.12180944269285188 -0.40147768126946565 -0.1886541672563951 -0.0063640034724469895
Blonde on Blonde	0.3635190162248017 0.2610367603304759 0.20414187127437772 0.6723634371856088 0.25896196426716483 0.16508536016083672 0.1218094426963996 -0.40147768126675654 -0.18865416725876996 -0.006364003474413502
John Wesley Harding	0.36351901622684185 0.2610367603314866 0.20414187127481057 0.6723634371838366 0.258961964266368 0.16508536015963177 0.12180944269807237 -0.40147768126669797 -0.18865416726020398 -0.0063640034715246015
Highway 61 Revisited	0.3635190162247216 0.26103676032744244 0.20414187127721586 0.6723634371858688 0.25896196426741136 0.1650853601610451 0.12180944269657568 -0.40147768126653777 -0.18865416725913775 -0.006364003474186578
America's Musical Landscape, Fourth Edition	0.3635190162245962 0.2610367603268897 0.2041418712773387 0.6723634371861181 0.25896196426396845 0.16508536015998124 0.12180944269552638 -0.40147768127079636 -0.18865416725559916 -0.006364003470963224
Die Hit-Giganten: Best of Christmas	0.3635190162239451 0.2610367603266823 0.2041418712736015 0.6723634371880522 0.2589619642680227 0.16508536015803496 0.12180944269518597 -0.4014776812679056 -0.188654167256935 -0.006364003471629919
This Is Your Land: Songs of Freedom	0.36351901622610666 0.2610367603275315 0.20414187127414646 0.6723634371863022 0.2589619642638453 0.16508536016242228 0.12180944269390755 -0.40147768126827665 -0.1886541672590528 -0.006364003468488577
The Real Bob Dylan	0.3635190162194398 0.26103676033022793 0.20414187127726238 0.6723634371853271 0.2589619642672725 0.16508536016409917 0.12180944269736571 -0.4014776812689816 -0.18865416725850537 -0.006364003469357052
Ten Million in a Week	0.36351901622190574 0.2610367603306563 0.20414187127752031 0.6723634371860256 0.2589619642675375 0.1650853601583887 0.12180944269335742 -0.40147768126885236 -0.18865416725885906 -0.0063640034698849435
Like Marlon Brando	0.3635190162230444 0.26103676033158274 0.20414187127819494 0.6723634371841094 0.2589619642675563 0.1650853601610889 0.1218094426995482 -0.4014776812661663 -0.1886541672602712 -0.006364003468180603
For Somebody By Somebody	0.3635190162209668 0.26103676033037554 0.20414187127436395 0.6723634371878984 0.2589619642678417 0.16508536015841943 0.12180944269538738 -0.4014776812674825 -0.18865416725875844 -0.006364003469689806
2003-10-13: Oslo 2003: Spektrum, Oslo, Norway	0.363519016223246 0.2610367603314893 0.20414187127504935 0.6723634371869566 0.2589619642678917 0.16508536015839642 0.12180944269572823 -0.401477681265227 -0.18865416725991221 -0.006364003467713395
The Classic Years: 1963	0.36351901622495425 0.26103676033156503 0.20414187127585665 0.6723634371849785 0.2589619642672994 0.1650853601607802 0.12180944269837557 -0.40147768126663946 -0.18865416725759993 -0.006364003470938338
Elokuvien 100 suosituinta	0.36351901622101485 0.2610367603274078 0.2041418712775552 0.6723634371858219 0.2589619642674826 0.1650853601637553 0.12180944269730641 -0.40147768126879085 -0.18865416725843645 -0.006364003469043735
Folk Rogue	0.36351901622411104 0.2610367603289114 0.20414187127794745 0.6723634371868746 0.25896196426789847 0.1650853601591814 0.12180944269421196 -0.4014776812666878 -0.18865416725708908 -0.006364003470906998
Unravelled Tales	0.3635190162230558 0.2610367603283604 0.20414187127802044 0.672363437184087 0.2589619642675125 0.1650853601635852 0.1218094426974507 -0.4014776812690843 -0.1886541672585901 -0.006364003468494877
Ace of Clubs	0.363519016224706 0.26103676032919654 0.20414187127804298 0.6723634371850173 0.25896196426565343 0.1650853601603296 0.12180944269775701 -0.4014776812686324 -0.1886541672578887 -0.0063640034705509975
White Dove	0.3635190162223644 0.2610367603281051 0.2041418712751167 0.672363437185788 0.25896196426739804 0.16508536016103195 0.12180944269655866 -0.40147768127009936 -0.1886541672586491 -0.006364003469843336
Eating Caviar in a King-Sized Bed	0.3635190162239381 0.2610367603288418 0.2041418712756739 0.6723634371865898 0.2589619642656072 0.16508536016070202 0.12180944269623215 -0.40147768126921857 -0.18865416725622178 -0.006364003470192754
Genuine Live 1966	0.36351901622468785 0.26103676032918827 0.2041418712759295 0.672363437184926 0.25896196426751117 0.16508536015906847 0.12180944269754347 -0.40147768126866956 -0.1886541672591901 -0.006364003469640199
A Long Time a Growin'	0.3635190162235428 0.26103676032988005 0.20414187127668726 0.6723634371859569 0.25896196426675433 0.16508536016196218 0.12180944269526058 -0.40147768126766553 -0.18865416725833267 -0.006364003468007946
Thunderbirds and Other Top 60's TV Themes, Volume 2	0.3635190162228046 0.26103676032988626 0.20414187127710676 0.6723634371852782 0.25896196426723916 -0.37726496183917646 -0.10886353952050276 -0.13657038060199 -0.17726594290597414 0.1861481542994879
Smash Hits from The Eagles	0.36351901622474037 0.2610367603315039 0.20414187127840305 0.6723634371813695 0.2589619642669708 -0.3772649618371221 -0.10886353953009495 -0.13657038059731166 -0.17726594290379233 0.1861481543074965
Thunderbirds Are Go: TV Themes for Grown Up Kids	0.363519016223656 0.2610367603301562 0.2041418712735655 0.6723634371850576 0.25896196426691515 -0.37726496183930813 -0.10886353952508243 -0.13657038059763138 -0.17726594290797013 0.186148154301398
Street Corner Essentials	0.36351901622580984 0.261036760327485 0.2041418712777057 0.6723634371868992 0.2589619642678993 -0.3772649618359807 -0.10886353952005687 -0.13657038059823476 -0.1772659429046517 0.18614815430093867
Thunderthemes Are Go	0.36351901622751326 0.2610367603276287 0.20414187127844724 0.6723634371840405 0.2589619642673681 -0.37726496183345715 -0.10886353952222184 -0.1365703805988174 -0.17726594290862244 0.1861481543061505
Ripples, Volume 5: Beach Bash	0.363519016226141 0.26103676032771617 0.20414187127434374 0.6723634371862677 0.25896196426728285 -0.37726496183665437 -0.1088635395269977 -0.13657038059825044 -0.1772659429024362 0.18614815430361842
200 Fab Sixties Favourites	0.36351901622117433 0.2610367603308077 0.20414187127765612 0.6723634371862082 0.25896196426765344 -0.3772649618354973 -0.10886353952014567 -0.1365703806014632 -0.17726594290739375 0.1861481543044768
The Avengers & Other Top Sixties TV Themes	0.3635190162209637 0.2610367603305264 0.20414187127744757 0.672363437185806 0.2589619642643584 -0.3772649618390346 -0.10886353952557695 -0.13657038059951745 -0.1772659429049481 0.1861481543052322
Beat, Beat, Beat, Volume 3: Mop Top Pop	0.3635190162214409 0.2610367603311369 0.2041418712743017 0.6723634371863411 0.25896196427078727 -0.3772649618349126 -0.10886353952281713 -0.1365703805989883 -0.17726594290461067 0.18614815430611537
Bristol Express / Johnny's Tune	0.36351901622429206 0.26103676033116957 0.2041418712756853 0.6723634371866366 0.2589619642656087 -0.37726496183675795 -0.10886353952404698 -0.13657038060003385 -0.17726594290384767 0.18614815430245804
Exodus: The Main Theme / March of the Eagles	0.3635190162243812 0.26103676032900003 0.20414187127820974 0.6723634371873657 0.2589619642681358 -0.377264961833855 -0.10886353952265497 -0.13657038059900717 -0.1772659429042941 0.1861481543030251
The Desperados / Special Agent	0.363519016223953 0.2610367603287962 0.20414187127813355 0.6723634371871817 0.2589619642655232 -0.3772649618365016 -0.10886353952368519 -0.1365703805996373 -0.1772659429018502 0.18614815430432308
Come On Baby (To the Floral Dance) / Theme from Station Six Sahara	0.3635190162250873 0.26103676032933604 0.20414187127833597 0.672363437185334 0.25896196426565066 -0.3772649618351192 -0.1088635395251329 -0.13657038059969748 -0.177265942906804 0.18614815430509718
Andorra / Moonstruck	0.3635190162232179 0.2610367603285055 0.20414187127542066 0.6723634371862155 0.2589619642675827 -0.3772649618379158 -0.10886353952390457 -0.1365703805977161 -0.17726594290704542 0.18614815430362125
Write Me a Letter / Wishin' and Hopin'	0.36351901622540167 0.261036760329533 0.2041418712762051 0.6723634371853672 0.258961964267656 -0.37726496183646663 -0.10886353952357213 -0.1365703806013598 -0.17726594290449146 0.18614815430333018
73 minutes 22 seconds of Great Music!!!	0.3635190162235688 0.26103676032989176 0.20414187127669545 0.6723634371859744 0.2589619642667621 -0.37726496183557706 -0.10886353952489743 -0.13657038059989646 -0.1772659429054723 0.1861481543060819
Close Dancin' Hits, 1960-1970	0.3635190162243645 0.26103676033125295 0.20414187128347788 0.6723634371823634 -0.31066943693760085 0.11815846834900294 0.09440702559780947 0.07868108552918626 0.06748420610033715 0.4193242168779309
The Works	0.3635190162258096 0.2610367603313583 0.20414187127816397 0.6723634371874868 -0.31066943693377624 0.11815846834584956 0.09440702559803366 0.07868108552934125 0.06748420610312163 0.41932421687517774
Fifty Country Greats	0.36351901622482685 0.26103676033083784 0.20414187127778227 0.6723634371867007 -0.31066943693747945 0.1181584683489601 0.09440702559783305 0.07868108553297616 0.06748420610338687 0.41932421687364296
Poetry In Motion The Cadence Records Story	0.36351901622573446 0.26103676033103806 0.20414187127787697 0.672363437186969 -0.3106694369376337 0.11815846834898358 0.09440702559439686 0.07868108552800102 0.06748420610343153 0.4193242168742162
The Millennium Collection	0.3635190162244008 0.2610367603308318 0.2041418712778187 0.6723634371867183 -0.31066943693741017 0.1181584683442935 0.09440702559631636 0.07868108552368717 0.0674842061013958 0.41932421687740085
Rock	0.36351901621817584 0.26103676032900036 0.20414187127674813 0.672363437184131 -0.31066943694415616 0.11815846834629021 0.09440702559543672 0.07868108553447328 0.06748420610709752 0.4193242168785227
