Scaling factor	2.6659506944613276
Elton John	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.6379554656322866 0.25456757055889256 -0.37817803528893024 -0.2246194282711285 -0.21045963996415587
The Kinks	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.6379554656322866 -0.31443817609923397 0.10849795510740204 0.08817473917923502 0.429129892323427
Led Zeppelin	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.6379554656322866 -0.31443817609923397 0.10849795510740204 -0.25023672870999086 -0.35959536804492437
Jerry Lee Lewis	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.6379554656322866 -0.31443817609923397 -0.3991653915521302 -0.2014730401583644 0.061438258875969466
Little Richard	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.6267296455337447 0.2530478998306318 0.16273397833556263 0.45922352835308566
Lynyrd Skynyrd	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.6267296455337447 0.2530478998306318 -0.41557939171094416 -0.25428795858856207
Madonna	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.6267296455337447 0.2530478998306318 0.4829661032464808 -0.0641275277309696
Metallica	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.6267296455337447 -0.3157288098548221 -0.399913318524251 0.20441744691011252
Joni Mitchell	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.6267296455337447 -0.3157288098548221 0.26305155748893744 -0.36403438441577457
The Monkees	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 0.6178253347221423 -0.3167746822821194 0.44733272420847325
Van Morrison	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 0.6178253347221423 -0.18199939087050737 -0.517038670899456
Nirvana	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 0.0983804272693073 0.61058643171969 0.5474179487716527
Roy Orbison	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 0.0983804272693073 -0.47775312011140586 0.6665089327693696
Gram Parsons	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 0.0983804272693073 -0.7145218056140161 -0.40241867568445877
Carl Perkins	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 0.0983804272693073 0.322308628184646 -0.7540552694831322
Tom Petty	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 -0.47064120014403665 0.4308210938145621 0.5244530060535872
Pink Floyd	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 -0.47064120014403665 -0.5981228305813606 0.3207909755145251
Elvis Presley	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 -0.47064120014403665 -0.19855069249756657 -0.6490264963335137
Prince	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 -0.47064120014403665 0.6752264732952696 -0.0687530377179963
Queen	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 0.10968580213630427 -0.8024932235105591 0.19325136237834661 -0.02862598235491113
Ramones	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 0.45027718687633433 -0.3405143928710866 0.40287837225968287
Rem	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 0.45027718687633433 -0.08788726540610076 -0.5201315825504291
The Rolling Stones	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 -0.10887689403077808 0.4390156768996089 0.5257581544691727
Simon	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 -0.10887689403077808 -0.5956365769854326 0.3381914690105726
The Smiths	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 -0.10887689403077808 -0.22651953673824018 -0.6464095458997688
Phil Spector	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 -0.10887689403077808 0.6764484832515494 -0.10758183425249197
Bruce Springsteen	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 0.12395851402193798 -0.4617156108355898 -0.5916507971041266 -0.35660919884020664 -0.06156129625697539
Steely Dan	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 0.47421029782998764 0.2272084519881537 0.15191854520728204 0.45530565275528184
Rod Stewart	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 0.47421029782998764 0.2272084519881537 -0.39488008288284665 -0.272859307979857
U2	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 0.47421029782998764 0.2272084519881537 0.479608514269009 -0.018924979510796525
The Velvet Underground	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 0.47421029782998764 -0.3366186190786291 -0.40055766619403915 0.09081642916590009
The Who	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 0.47421029782998764 -0.3366186190786291 0.37056242557503793 -0.17713711216231542
The Yardbirds	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 0.46833294755902055 -0.3375590436096768 0.40885264914306874
Neil Young	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 0.46833294755902055 -0.10036758960667362 -0.520608243874923
